ad_format,ad_category,ad_creative,device_type,os_version,country,language,publisher_app,day_of_week,time_of_day,clicked
video,travel,creative_1,tablet,Android_12,JP,de,app_39,Thu,evening,0
banner,food,creative_1,smartphone,iOS_16,CN,es,app_45,Sun,afternoon,0
video,finance,creative_14,smartphone,Android_13,IN,en,app_26,Mon,afternoon,1
banner,food,creative_11,smartphone,iOS_16,DE,fr,app_24,Wed,afternoon,0
video,food,creative_16,smartphone,Android_11,DE,zh,app_2,Fri,evening,1
video,shopping,creative_12,tablet,iOS_15,BR,de,app_45,Wed,afternoon,0
banner,entertainment,creative_7,tablet,iOS_15,DE,pt,app_13,Thu,afternoon,0
banner,gaming,creative_10,tablet,Android_11,US,zh,app_38,Thu,afternoon,1
banner,finance,creative_18,smartphone,Android_11,JP,pt,app_39,Wed,afternoon,1
interstitial,entertainment,creative_15,tablet,Android_11,FR,zh,app_45,Fri,afternoon,1
video,food,creative_18,smartphone,iOS_14,JP,fr,app_46,Fri,evening,1
interstitial,food,creative_2,tablet,iOS_16,BR,zh,app_13,Sun,night,1
banner,finance,creative_8,tablet,iOS_15,JP,zh,app_38,Tue,night,0
video,gaming,creative_10,smartphone,Android_12,UK,en,app_21,Sun,morning,0
video,travel,creative_2,smartphone,iOS_15,CN,es,app_26,Tue,evening,1
banner,finance,creative_8,tablet,iOS_14,IN,es,app_30,Tue,afternoon,0
video,entertainment,creative_10,tablet,Android_11,FR,fr,app_13,Sat,evening,1
interstitial,finance,creative_1,smartphone,Android_11,IN,hi,app_24,Wed,evening,1
banner,shopping,creative_11,tablet,Android_11,IN,zh,app_45,Wed,afternoon,0
video,travel,creative_1,smartphone,Android_13,BR,es,app_40,Wed,afternoon,1
interstitial,finance,creative_11,tablet,iOS_15,JP,fr,app_12,Mon,morning,0
banner,finance,creative_15,tablet,iOS_16,BR,ja,app_27,Tue,morning,0
video,finance,creative_19,tablet,iOS_16,BR,de,app_28,Thu,night,0
banner,shopping,creative_20,tablet,Android_11,BR,zh,app_22,Fri,morning,0
video,gaming,creative_16,tablet,Android_13,DE,es,app_5,Sat,morning,1
interstitial,entertainment,creative_5,tablet,Android_12,US,en,app_25,Thu,evening,1
interstitial,shopping,creative_12,tablet,iOS_16,US,pt,app_11,Mon,night,1
video,finance,creative_9,smartphone,Android_12,US,es,app_17,Fri,afternoon,1
video,shopping,creative_18,smartphone,iOS_14,US,es,app_22,Wed,night,1
video,food,creative_12,smartphone,Android_13,DE,en,app_24,Thu,afternoon,0
video,gaming,creative_10,tablet,Android_13,CN,de,app_40,Sun,evening,1
banner,shopping,creative_19,smartphone,Android_12,FR,en,app_22,Fri,afternoon,0
video,entertainment,creative_7,smartphone,iOS_15,UK,de,app_3,Tue,morning,0
video,food,creative_19,tablet,Android_12,CN,fr,app_45,Wed,afternoon,1
video,shopping,creative_8,tablet,Android_12,CN,pt,app_24,Mon,evening,0
video,shopping,creative_10,tablet,iOS_14,IN,es,app_21,Tue,night,1
interstitial,gaming,creative_14,smartphone,iOS_14,JP,en,app_25,Tue,morning,1
interstitial,entertainment,creative_18,smartphone,Android_13,BR,en,app_4,Tue,afternoon,0
interstitial,entertainment,creative_4,smartphone,Android_13,DE,en,app_4,Wed,afternoon,0
video,entertainment,creative_20,tablet,Android_13,DE,es,app_2,Sat,evening,1
interstitial,shopping,creative_7,tablet,Android_13,FR,zh,app_47,Thu,morning,0
